number,combine_polarity,combine_subjectivity,rating_polarity,rating_subjectivity,confidence_polarity,confidence_subjectivity,summary_polarity,summary_subjectivity,strength_weakness_polarity,strength_weakness_subjectivity,question_polarity,question_subjectivity,limitation_polarity,limitation_subjectivity
3025,0.1697591415676522,0.48768075895735474,0.22708333333333336,0.5583333333333333,0.19999999999999998,0.4444444444444445,0.17142857142857146,0.5952380952380952,0.23929292929292925,0.5183838383838384,0.02,0.425,0.07473544973544972,0.3392857142857143
5769,0.07500000000000001,0.33088235294117646,0.0,0.6666666666666666,0.5,0.8333333333333334,0.03333333333333333,0.06666666666666667,0.06785714285714287,0.2988095238095238,0.0,0.0,0.1,0.25
6510,0.15595238095238095,0.45921516754850084,0.2763888888888889,0.5347222222222222,0.3,0.6083333333333334,0.0,1.0,0.16666666666666666,0.33888888888888885,0.209047619047619,0.4480952380952381,-0.013265306122448976,0.3857142857142857
6640,0.08711843711843711,0.3407203907203908,0.016666666666666666,0.3666666666666667,0.19999999999999998,0.4388888888888889,0.07916666666666666,0.3125,0.12103174603174605,0.3533068783068783,0.05555555555555555,0.1111111111111111,0.08055555555555555,0.3652777777777778
7169,0.0987514518002323,0.32851335656213704,0.13229166666666667,0.3635416666666667,0.19999999999999998,0.3444444444444445,0.04206349206349206,0.19920634920634922,0.10166666666666666,0.32833333333333337,0.09523809523809523,0.43690476190476185,0.08214285714285716,0.3482142857142857
8594,0.18784271284271287,0.4225468975468975,0.30694444444444446,0.5069444444444445,0.16666666666666666,0.7777777777777778,0.0880952380952381,0.32380952380952377,0.1285714285714286,0.2833333333333333,0.35,0.4416666666666667,0.1469387755102041,0.4108843537414966
9378,0.025000000000000005,0.3708333333333334,0.13333333333333333,0.2583333333333333,0.19999999999999998,0.3444444444444445,0.024999999999999994,0.275,0.04583333333333333,0.42708333333333337,-0.033333333333333354,0.5333333333333333,-0.15333333333333335,0.33333333333333337
10162,0.1546685606060606,0.43226325757575745,0.18274410774410774,0.5569865319865319,0.11499999999999999,0.3616666666666667,0.10166666666666666,0.3416666666666667,0.13579545454545455,0.3109848484848485,0.33,0.77,0.15833333333333333,0.425
10438,0.19832415059687786,0.5344811753902663,0.21875,0.5864583333333333,0.16666666666666666,0.6444444444444445,0.2730519480519481,0.47683982683982684,0.209375,0.46979166666666666,0.0,0.75,0.11805555555555557,0.5277777777777778
11146,0.1386734693877551,0.43431972789115636,0.2885416666666667,0.559375,0.19999999999999998,0.3444444444444445,0.08,0.26,0.11000000000000001,0.47333333333333344,-0.008333333333333331,0.35833333333333334,0.07837301587301587,0.4307539682539682
