number,rating_polarity,rating_subjectivity,confidence_polarity,confidence_subjectivity,summary_polarity,summary_subjectivity,strength_weakness_polarity,strength_weakness_subjectivity,question_polarity,question_subjectivity,limitation_polarity,limitation_subjectivity
9378,-0.0515625,0.45625000000000004,0.04523809523809523,0.660952380952381,0.0,0.0,0.0479296066252588,0.4776397515527951,-0.08571428571428573,0.37142857142857144,0.3333333333333333,0.3333333333333333
9378,0.11200000000000002,0.42800000000000005,0.04523809523809523,0.660952380952381,-0.10227272727272728,0.3431818181818182,0.15666666666666668,0.31055555555555553,0.30000000000000004,0.5,-0.01818181818181818,0.4363636363636364
9378,0.11200000000000002,0.42800000000000005,0.04523809523809523,0.660952380952381,0.11924242424242423,0.453030303030303,0.08660774410774412,0.4665782828282826,0.14513888888888887,0.44236111111111115,0.23409090909090907,0.48863636363636365
9378,-0.0515625,0.45625000000000004,0.04523809523809523,0.660952380952381,-0.13333333333333333,0.13333333333333333,0.28555555555555556,0.43444444444444447,0.36500000000000005,0.585,0.16666666666666666,0.47500000000000003
7169,0.11200000000000002,0.42800000000000005,0.06,0.6799999999999999,0.08571428571428572,0.3,0.10327380952380953,0.47817460317460325,0.06510416666666666,0.4140625,0.3333333333333333,0.3333333333333333
7169,0.11200000000000002,0.42800000000000005,0.06,0.6799999999999999,0.11538461538461539,0.29871794871794877,0.1566176470588235,0.3764705882352941,0.0,0.0,-0.1,0.6
7169,0.11200000000000002,0.42800000000000005,0.1375,0.8083333333333333,0.01948051948051948,0.15422077922077923,0.0023809523809523764,0.38619047619047614,0.05251831501831502,0.5386294261294261,0.25,0.25
6510,-0.0515625,0.45625000000000004,0.1375,0.8083333333333333,0.175,0.15,0.1285714285714286,0.4928571428571428,0.25,0.4910714285714286,0.0,0.0
6510,0.11200000000000002,0.42800000000000005,0.1375,0.8083333333333333,0.06363636363636363,0.24545454545454548,0.048106060606060604,0.521969696969697,0.5,1.0,0.13666666666666666,0.5916666666666666
6510,-0.0515625,0.45625000000000004,0.04523809523809523,0.660952380952381,-0.08484848484848488,0.39494949494949494,0.06359584859584862,0.39660561660561666,-0.10666666666666666,0.35666666666666663,0.026043956043956033,0.5189377289377289
5769,-0.03571428571428571,0.12142857142857143,0.1375,0.8083333333333333,0.16666666666666663,0.5085497835497836,-0.10333333333333335,0.45166666666666666,0.0,0.0,0.0,0.0
5769,0.11200000000000002,0.42800000000000005,0.04523809523809523,0.660952380952381,0.11542871900826449,0.40565254820936647,0.2585374149659864,0.5576627793974732,0.12083333333333333,0.3680555555555556,-0.013333333333333327,0.25333333333333335
5769,-0.03571428571428571,0.12142857142857143,0.06,0.6799999999999999,0.16666666666666666,0.3333333333333333,0.15,0.48526785714285714,0.1,0.3,0.06666666666666667,0.6333333333333333
5769,-0.03571428571428571,0.12142857142857143,0.04523809523809523,0.660952380952381,0.7,0.9,0.13214285714285715,0.2607142857142857,-0.0625,0.2375,0.01428571428571429,0.22142857142857142
10162,0.11200000000000002,0.42800000000000005,0.04523809523809523,0.660952380952381,0.05357142857142857,0.23928571428571427,0.1598086124401914,0.46734449760765545,0.07986111111111112,0.37152777777777773,0.19666666666666668,0.4166666666666667
10162,0.11200000000000002,0.42800000000000005,0.04523809523809523,0.660952380952381,0.16239669421487604,0.46859504132231405,0.11638755980861244,0.4154439128123339,0.21428571428571427,0.5714285714285714,0.3333333333333333,0.41666666666666663
